[1, 30, '0', '1', '1', 1, 4, 2, 15, 0]
[1, 34, '1', '0', '1', 1, 4, 2, 5, 1]
[1, 27, '1', '0', '0', 1, 5, 2, 9, 0]
[1, 31, '0', '1', '1', 1, 5, 2, 6, 0]
[1, 30, '1', '1', '0', 1, 4, 2, 9, 1]
[1, 30, '1', '0', '1', 1, 4, 2, 9, 0]
[1, 30, '0', '0', '0', 0, 4, 1, 7, 0]
[1, 36, '1', '1', '1', 1, 3, 2, 6, 0]
[3, 29, '0', '0', '1', 1, 4, 2, 4, 0]
[3, 28, '1', '0', '0', 1, 5, 2, 4, 0]
[3, 30, '1', '1', '0', 0, 4, 1, 5, 0]
[3, 32, '1', '1', '1', 1, 3, 2, 2, 0]
[3, 31, '1', '1', '1', 1, 4, 2, 4, 0]
[3, 32, '1', '0', '0', 1, 5, 2, 6, 0]
[3, 34, '1', '1', '1', 1, 1, 2, 4, 0]
[3, 32, '1', '1', '0', 1, 5, 2, 9, 0]
[3, 29, '1', '0', '1', 1, 5, 2, 6, 0]
[3, 30, '1', '0', '1', 1, 4, 2, 4, 1]
[3, 31, '1', '1', '1', 1, 5, 2, 4, 0]
[3, 30, '1', '0', '0', 1, 4, 2, 6, 1]
[3, 30, '0', '0', '1', 1, 4, 2, 4, 0]
[3, 31, '1', '0', '0', 1, 3, 2, 4, 0]
[3, 30, '1', '1', '0', 1, 4, 2, 4, 0]
[3, 30, '1', '0', '1', 0, 5, 1, 7, 1]
[3, 28, '1', '0', '1', 1, 5, 2, 11, 0]
[3, 30, '1', '0', '0', 1, 5, 2, 4, 0]
[3, 30, '1', '0', '1', 1, 3, 2, 6, 1]
[3, 32, '1', '1', '0', 2, 3, 3, 6, 1]
[3, 28, '0', '0', '1', 1, 5, 2, 3, 0]
[3, 30, '0', '0', '1', 1, 3, 2, 9, 1]
[3, 28, '1', '0', '1', 1, 5, 2, 11, 0]
[3, 28, '1', '0', '0', 1, 5, 2, 7, 0]
[3, 29, '0', '0', '0', 1, 5, 2, 11, 0]
[3, 28, '1', '1', '1', 1, 4, 2, 7, 0]
[3, 28, '1', '1', '1', 1, 5, 2, 11, 0]
[0, 32, '1', '1', '0', 2, 3, 3, 6, 0]
[0, 32, '1', '0', '1', 1, 5, 2, 4, 0]
[0, 28, '1', '0', '1', 1, 5, 2, 11, 0]
[0, 30, '0', '0', '1', 1, 3, 2, 9, 1]
[0, 30, '1', '0', '0', 1, 5, 2, 5, 0]
[0, 27, '1', '1', '1', 1, 4, 2, 9, 0]
[0, 28, '1', '1', '0', 1, 4, 2, 9, 0]
[0, 28, '1', '0', '1', 0, 4, 1, 9, 0]
[0, 28, '1', '0', '0', 1, 5, 2, 7, 0]
[0, 27, '1', '1', '0', 2, 5, 3, 5, 0]
[0, 27, '1', '0', '0', 2, 5, 3, 7, 0]
[1, 28, '1', '0', '0', 1, 5, 2, 11, 0]
[1, 30, '1', '1', '0', 1, 3, 2, 3, 0]
[1, 29, '1', '1', '1', 1, 4, 2, 5, 0]
[1, 31, '1', '1', '1', 1, 3, 2, 3, 0]
[1, 30, '1', '0', '1', 1, 4, 2, 3, 0]
[1, 27, '1', '1', '0', 2, 5, 3, 13, 0]
[1, 27, '1', '1', '0', 1, 4, 2, 9, 0]
[1, 28, '1', '1', '1', 0, 4, 1, 3, 0]
[1, 28, '1', '0', '1', 1, 5, 2, 11, 0]
[1, 28, '1', '0', '1', 1, 4, 2, 3, 0]
[1, 27, '1', '1', '0', 1, 4, 2, 13, 0]
[1, 30, '1', '1', '1', 0, 5, 1, 13, 0]
[1, 28, '1', '1', '0', 1, 2, 2, 11, 0]
[3, 28, '0', '0', '0', 2, 4, 3, 7, 0]
[3, 28, '0', '0', '0', 2, 4, 3, 18, 0]
[0, 29, '1', '0', '0', 2, 5, 3, 4, 0]
[0, 28, '1', '1', '1', 1, 3, 2, 6, 0]
[0, 28, '1', '0', '0', 2, 5, 3, 9, 0]
[0, 27, '1', '0', '0', 2, 4, 3, 5, 0]
[1, 28, '0', '0', '1', 1, 5, 2, 10, 0]
[1, 27, '1', '1', '0', 0, 4, 1, 15, 0]
[1, 27, '1', '0', '0', 2, 5, 3, 8, 0]
[1, 27, '1', '0', '0', 2, 4, 3, 5, 0]
[1, 27, '1', '0', '1', 0, 4, 1, 9, 0]
[1, 27, '1', '1', '0', 0, 4, 1, 15, 1]
[2, 30, '1', '0', '0', 2, 5, 3, 5, 0]
[3, 28, '1', '0', '0', 2, 3, 3, 9, 0]
[0, 27, '1', '0', '0', 2, 4, 3, 7, 0]
[0, 27, '1', '0', '0', 2, 4, 3, 11, 0]
[0, 32, '1', '0', '1', 2, 5, 3, 4, 0]
[0, 31, '1', '0', '1', 2, 3, 3, 10, 0]
[0, 30, '1', '1', '1', 2, 4, 3, 3, 0]
[0, 27, '1', '1', '0', 2, 4, 3, 6, 0]
[0, 36, '1', '0', '1', 2, 3, 3, 4, 0]
[1, 34, '1', '1', '0', 2, 5, 3, 11, 0]
[0, 32, '1', '1', '1', 2, 4, 3, 3, 0]
[1, 34, '1', '0', '0', 2, 3, 3, 3, 0]
[1, 33, '1', '1', '1', 2, 5, 3, 4, 0]
[1, 32, '1', '0', '0', 2, 5, 3, 1, 1]
[1, 34, '1', '1', '0', 1, 3, 2, 5, 0]
[1, 31, '1', '1', '1', 1, 3, 2, 4, 0]
[1, 31, '1', '1', '1', 2, 4, 3, 4, 0]
[1, 32, '1', '1', '1', 1, 5, 2, 5, 0]
